Course_Name,score
"""Advanced Monitoring and Evaluation""",0.2775
"""Alteryx Bootcamp""",0.2775
"""Business Data Analytics (IIBA®-CBDA Exam preparation)""",0.2775
"""Complete Japanese Course: Learn Japanese for Beginners""",0.2775
"""Introducing Microsoft Dynamics 365""",0.2775
"""Master Microsoft Outlook - Outlook from Beginner to Advanced""",0.2775
"""Microsoft Power BI Desktop for Business Intelligence""",0.2775
"""Presentation Skills: Master Confident Presentation""",0.2775
"""SAP for Beginners course | SAP ERP with practice""",0.2775
"""Certification ADP Accountant Connect""",0.15
"""Fund Accounting Basic""",0.15
"""Leadership: Practical Leadership Skill""",0.15
"""Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU""",0.15
"""Proficient in Facebook marketing""",0.15
"""Spreadsheets for Beginners using Google Sheets""",0.15
"""Ultimate Microsoft Office; Excel, Word, PowerPoint""",0.15
null,0.15
